iter	RMSE
137	7.281226867
138	7.267526281
139	7.252520133
140	7.239500315
141	7.216911282
142	7.201963842
143	7.188355301
144	7.178766175
145	7.169530811
146	7.151953611
147	7.132304162
148	7.12730746
149	7.113714593
150	7.102565636
151	7.08924024
152	7.075337849
153	7.06384978
154	7.056029096
155	7.03695678
156	7.007517054
157	6.981789379
158	6.973762523
159	6.954056634
160	6.93762182
161	6.923985471
162	6.917868745
163	6.896305378
164	6.882578213
165	6.857705688
166	6.840740526
167	6.820123228
168	6.803423203
169	6.786451718
170	6.778916746
171	6.76297945
172	6.745070091
173	6.730252938
174	6.713492374
175	6.696287719
176	6.67955389
177	6.668562992
178	6.652675893
179	6.637023019
180	6.622655172
181	6.596419063
182	6.57615078
183	6.56012969
184	6.543291163
185	6.526524496
186	6.509650988
187	6.490495763
188	6.476187851
189	6.461812266
190	6.448141924
191	6.427717795
192	6.420767419
193	6.415576969
194	6.408045665
195	6.397420293
196	6.377345387
197	6.362276199
198	6.341433989
199	6.319380415
200	6.309369795
201	6.287575039
202	6.277390151
203	6.256255662
204	6.247918382
205	6.237536579
206	6.224413915
207	6.205471742
208	6.193272008
209	6.178723056
210	6.156255734
211	6.134684563
212	6.127287938
213	6.120600286
214	6.110346413
215	6.09370556
216	6.084604477
217	6.081711737
218	6.068834682
219	6.054874041
220	6.038092075
221	6.026367163
222	6.007888517
223	6.004099011
224	5.995683406
225	5.985811875
226	5.976729652
227	5.960115382
228	5.950543644
229	5.938684127
230	5.920534772
231	5.906549605
232	5.899865136
233	5.894334781
234	5.876716488
235	5.851648184
236	5.841031648
237	5.836321131
238	5.833093607
239	5.822947681
240	5.808579648
241	5.802767147
242	5.796826651
243	5.775168469
244	5.771678757
245	5.753852423
246	5.746557927
247	5.730537891
248	5.715504
249	5.708906652
250	5.697295644
251	5.678006268
252	5.664992669
253	5.650216659
254	5.643479763
255	5.634715766
256	5.628963291
257	5.616029705
258	5.608764995
259	5.600516459
260	5.598007254
261	5.591061214
262	5.577199873
263	5.567819948
264	5.562314034
265	5.546359615
266	5.538934334
267	5.526461211
268	5.514181152
269	5.510612466
270	5.50242038
271	5.487612259
272	5.47543516
273	5.466706029
274	5.451039149
275	5.445781208
276	5.43865482
277	5.43391401
278	5.423534503
279	5.404157489
280	5.396779539
281	5.394014398
282	5.375243406
283	5.366708728
284	5.350843118
285	5.3423341
286	5.331393007
287	5.32500362
288	5.315841489
289	5.309294875
290	5.306487588
291	5.287584405
292	5.27157748
293	5.264346212
294	5.249884892
295	5.242804567
296	5.22945997
297	5.215582785
298	5.205818192
299	5.199389805
300	5.187438694
301	5.177825794
302	5.169207841
303	5.161246522
304	5.145562263
305	5.140564282
306	5.128840436
307	5.123734744
308	5.107745614
309	5.101008512
310	5.085672471
311	5.079877581
312	5.075496487
313	5.067142297
314	5.057162781
315	5.047864063
316	5.045857218
317	5.040723818
318	5.027813874
319	5.015691928
320	5.009709921
321	4.991843045
322	4.980501485
323	4.978178098
324	4.96906037
325	4.958445991
326	4.946411188
327	4.930610503
328	4.92199598
329	4.912800048
330	4.910123821
331	4.900822217
332	4.889206261
333	4.880948673
334	4.865215303
335	4.85569953
336	4.843348464
337	4.839351939
338	4.832965811
339	4.818354622
340	4.808405353
341	4.797994574
342	4.790372181
343	4.780446542
344	4.772791252
345	4.762417078
346	4.758100789
347	4.754905963
348	4.747029247
349	4.744077177
350	4.733787072
351	4.720329086
352	4.70651369
353	4.694644397
354	4.691750343
355	4.686547032
356	4.676282391
357	4.671450052
358	4.665096748
359	4.65888943
360	4.653181494
361	4.650787432
362	4.645916544
363	4.6301333
364	4.621231371
365	4.609235294
366	4.599293171
367	4.59603533
368	4.588378633
369	4.586323927
370	4.573360969
371	4.570269705
372	4.565139425
373	4.552790863
374	4.542479899
375	4.535383493
376	4.520437032
377	4.511213591
378	4.507432506
379	4.499049332
380	4.49663486
381	4.491926358
382	4.483872338
383	4.481188935
384	4.47980831
385	4.465098794
386	4.458998143
387	4.447695269
388	4.42798016
389	4.40954004
390	4.406229413
391	4.398501377
392	4.389995704
393	4.384308312
394	4.373989388
395	4.371080914
396	4.367412227
397	4.362339605
398	4.347824766
399	4.339392391
400	4.33568512
401	4.323056714
402	4.315703791
403	4.309597365
404	4.303408141
405	4.301324415
406	4.294601309
407	4.2768838
408	4.265275545
409	4.256782571
410	4.246594679
411	4.240984897
412	4.228283168
413	4.220185199
414	4.216372626
415	4.202282886
416	4.194980881
417	4.191703998
418	4.18443195
419	4.172434687
420	4.168584426
421	4.16740638
422	4.156520906
423	4.140059379
424	4.128578419
425	4.125704759
426	4.111794084
427	4.098602707
428	4.093514323
429	4.076157186
430	4.062904418
431	4.053721908
432	4.045815424
433	4.038818554
434	4.034014965
435	4.026952253
436	4.010445153
437	4.007077775
438	3.990620494
439	3.987784008
440	3.977446195
441	3.969598146
442	3.961484231
443	3.956459462
444	3.946937608
445	3.944485086
446	3.928476088
447	3.922373155
448	3.906286121
449	3.90184587
450	3.895492375
451	3.885879277
452	3.883534756
453	3.878658718
454	3.877564898
455	3.863018502
456	3.847627321
457	3.838624944
458	3.827926544
459	3.825508863
460	3.811559243
461	3.806098195
462	3.801991731
463	3.801168236
464	3.7935612
465	3.778852703
466	3.774231797
467	3.759576047
468	3.758694153
469	3.753670549
470	3.743540083
471	3.728263275
472	3.72483399
473	3.714291736
474	3.704659745
475	3.703221733
476	3.696247458
477	3.688642579
478	3.67649254
479	3.669633125
480	3.655029847
481	3.649611452
482	3.635750494
483	3.628083966
484	3.614456969
485	3.605859286
486	3.5917015
487	3.58153191
488	3.567673725
489	3.554129243
490	3.540623913
491	3.5306061
492	3.52674804
493	3.515842443
494	3.506240587
495	3.504296651
496	3.494569494
497	3.483467848
498	3.47495748
499	3.465548653
500	3.461724573
501	3.448601666
502	3.446327087
503	3.435488472
504	3.423422838
505	3.419089914
506	3.410934799
507	3.398249608
508	3.396485866
509	3.390348888
510	3.382469427
511	3.381543731
512	3.369046604
513	3.361091807
514	3.348808814
515	3.34491628
516	3.336999847
517	3.331955476
518	3.329200743
519	3.320999102
520	3.315645629
521	3.310399197
522	3.305201865
523	3.303039873
524	3.290975122
525	3.280717662
526	3.2785924
527	3.271358868
528	3.263878292
529	3.256666765
530	3.244455589
531	3.23269475
532	3.231832139
533	3.219374859
534	3.207934151
535	3.200036984
536	3.191996125
537	3.185207987
538	3.180318696
539	3.175708635
540	3.170653642
541	3.166202853
542	3.162816848
543	3.158232646
544	3.148076015
545	3.143919555
546	3.139496232
547	3.136857498
548	3.125675952
549	3.121219189
550	3.116847552
551	3.111119034
552	3.107610248
553	3.102749672
554	3.092987816
555	3.086773272
556	3.082376259
557	3.075345047
558	3.071328091
559	3.066632688
560	3.056705973
561	3.053905801
562	3.048398724
563	3.043514098
564	3.03687997
565	3.033496273
566	3.024803243
567	3.018510181
568	3.017678686
569	3.012256845
570	3.00842547
571	3.006471175
572	3.004761347
573	2.995506138
574	2.991725073
575	2.987918693
576	2.981603017
577	2.970206998
578	2.95958618
579	2.948893084
580	2.944870316
581	2.936825432
582	2.932886418
583	2.926079202
584	2.918190292
585	2.912179031
586	2.910026541
587	2.906411197
588	2.903545938
589	2.90080349
590	2.892902856
591	2.889570497
592	2.884985768
593	2.881253481
594	2.872777492
595	2.869213677
596	2.8655822
597	2.859644177
598	2.856038479
599	2.852848933
600	2.849226306
601	2.844811398
602	2.834426614
603	2.828217158
604	2.824735762
605	2.82124492
606	2.819240761
607	2.816506358
608	2.813132118
609	2.809821423
610	2.806660758
611	2.803271849
612	2.800275705
613	2.790961029
614	2.785462298
615	2.779517329
616	2.776028744
617	2.772924277
618	2.76414918
619	2.760922212
620	2.752893498
621	2.742308565
622	2.740421311
623	2.735570625
624	2.730383617
625	2.723809033
626	2.720818577
627	2.717344888
628	2.70960485
629	2.699881984
630	2.696773143
631	2.693934501
632	2.690921845
633	2.688191579
634	2.685587204
635	2.682935541
636	2.678728008
637	2.671221645
638	2.670379756
639	2.661533933
640	2.656921136
641	2.651946516
642	2.649299285
643	2.647520452
644	2.642057715
645	2.63772066
646	2.633749895
647	2.631145302
648	2.62700746
649	2.619742411
650	2.611956684
651	2.608374341
652	2.60131071
653	2.598683651
654	2.58929828
655	2.584062657
656	2.576033962
657	2.568377345
658	2.56623666
659	2.564108514
660	2.560907762
661	2.560417039
662	2.555362369
663	2.553096489
664	2.549474582
665	2.546062431
666	2.540776368
667	2.536848319
668	2.531442007
669	2.528493791
670	2.526575556
671	2.524595517
672	2.521494747
673	2.518461965
674	2.514442368
675	2.507686503
676	2.505114147
677	2.502438041
678	2.495839366
679	2.493817305
680	2.492441013
681	2.487895808
682	2.479632352
683	2.470976422
684	2.468299711
685	2.46458362
686	2.460559515
687	2.457398587
688	2.455025824
689	2.451543357
690	2.449057957
691	2.444559176
692	2.44161894
693	2.437788379
694	2.429640119
695	2.428183009
696	2.423880727
697	2.420197934
698	2.414374781
699	2.411809311
700	2.407499753
701	2.399473724
702	2.397508753
703	2.393944145
704	2.385470188
705	2.383110161
706	2.380016637
707	2.375222879
708	2.373566513
709	2.372129874
710	2.369783099
711	2.363665369
712	2.36239858
713	2.358269123
714	2.356510543
715	2.35329982
716	2.346623957
717	2.340395897
718	2.338162162
719	2.337821036
720	2.333464757
721	2.331662326
722	2.329019302
723	2.320750618
724	2.316485788
725	2.314354572
726	2.313493218
727	2.308462691
728	2.301946001
729	2.298023187
730	2.289031715
731	2.285906471
732	2.283710294
733	2.277106976
734	2.275686732
735	2.274332291
736	2.270699194
737	2.268188483
738	2.264833727
739	2.262718293
740	2.260014135
741	2.25813589
742	2.254859088
743	2.248449484
744	2.246895297
745	2.244767219
746	2.242542073
747	2.23954797
748	2.230833544
749	2.227782269
750	2.223361067
751	2.221000036
752	2.217071182
753	2.212839498
754	2.209834794
755	2.203507008
756	2.201361044
757	2.19757466
758	2.189758606
759	2.186076468
760	2.184782943
761	2.179007006
762	2.177101225
763	2.171468671
764	2.167696324
765	2.167297968
766	2.165531311
767	2.16156292
768	2.158623047
769	2.155217434
770	2.151919045
771	2.144274934
772	2.136206023
773	2.134225617
774	2.126278739
775	2.12092611
776	2.118422955
777	2.115097502
778	2.113112598
779	2.110213465
780	2.106350793
781	2.104551282
782	2.096812272
783	2.093217668
784	2.084443749
785	2.080684288
786	2.079214102
787	2.074975842
788	2.071476654
789	2.069328397
790	2.067504683
791	2.064914926
792	2.059594935
793	2.055806718
794	2.055472501
795	2.052027435
796	2.04944175
797	2.041461432
798	2.038976735
799	2.031484594
800	2.029711418
801	2.025267593
802	2.02305729
803	2.015273285
804	2.013521596
805	2.011348989
806	2.004202544
807	2.002107099
808	1.999530882
809	1.993296437
810	1.989887289
811	1.988373178
812	1.985477892
813	1.982648746
814	1.97506664
815	1.973584972
816	1.970441112
817	1.966962476
818	1.960671495
819	1.957710747
820	1.956034039
821	1.954062891
822	1.952407426
823	1.95069756
824	1.94576014
825	1.938702633
826	1.936505419
827	1.934204296
828	1.932308951
829	1.930335692
830	1.924894753
831	1.922820761
832	1.921079487
833	1.920568673
834	1.918890138
835	1.917084591
836	1.91538485
837	1.913791479
838	1.906528022
839	1.903710549
840	1.902082037
841	1.894791238
842	1.893754768
843	1.888756727
844	1.886345654
845	1.884892007
846	1.88277798
847	1.88083403
848	1.878435632
849	1.877279737
850	1.874800921
851	1.871652469
852	1.869105965
853	1.867366628
854	1.864632986
855	1.864367992
856	1.861643787
857	1.85463586
858	1.847685313
859	1.8459533
860	1.843776522
861	1.843494889
862	1.841884157
863	1.835004562
864	1.8324682
865	1.82797666
866	1.827298827
867	1.82484923
868	1.823284704
869	1.820837482
870	1.819258223
871	1.817648993
872	1.816357025
873	1.816101609
874	1.814978523
875	1.812268908
876	1.810815637
877	1.808689516
878	1.801704116
879	1.79824708
880	1.795946436
881	1.793016287
882	1.789030382
883	1.786849492
884	1.78500789
885	1.784681635
886	1.782571504
887	1.776894118
888	1.775236301
889	1.773825503
890	1.772626391
891	1.768897742
892	1.767525824
893	1.766192439
894	1.763269904
895	1.761349001
896	1.760016597
897	1.758327287
898	1.754765193
899	1.750671342
900	1.749331746
901	1.747708874
902	1.745864016
903	1.744821904
904	1.743758059
905	1.742166475
906	1.738186617
907	1.735113508
908	1.732454675
909	1.731182119
910	1.729357381
911	1.728187401
912	1.727998435
913	1.726017739
914	1.722132208
915	1.719710709
916	1.717752186
917	1.710807391
918	1.709631129
919	1.708131822
920	1.705335438
921	1.702333987
922	1.701172543
923	1.6991649
924	1.697975149
925	1.696338628
926	1.693459545
927	1.686696882
928	1.681015165
929	1.674424785
930	1.672274335
931	1.671577091
932	1.668183884
933	1.661517554
934	1.659633154
935	1.656152463
936	1.65248378
937	1.646008396
938	1.644088402
939	1.642534781
940	1.64133523
941	1.63492216
942	1.628590653
943	1.623230713
944	1.62202002
945	1.615942113
946	1.613145378
947	1.611774754
948	1.610229366
949	1.60769358
950	1.607189135
951	1.604717101
952	1.600735759
953	1.60004054
954	1.59697461
955	1.595851771
956	1.589762519
957	1.58371205
958	1.580793442
959	1.574867557
960	1.572138969
961	1.566075613
962	1.560173685
963	1.558473707
964	1.556534248
965	1.55069573
966	1.548865814
967	1.543937543
968	1.542490728
969	1.540042076
970	1.537948498
971	1.537043366
972	1.534376355
973	1.531934678
974	1.530378828
975	1.526995715
976	1.525431199
977	1.523348773
978	1.5221064
979	1.519489755
980	1.51676403
981	1.513499628
982	1.511657892
983	1.50955176
984	1.507375877
985	1.501502925
986	1.49945083
987	1.498167008
988	1.49565958
989	1.494404761
990	1.492771242
991	1.491418303
992	1.485765238
993	1.479936415
994	1.477438208
995	1.471869358
996	1.466362693
997	1.464311016
998	1.463501004
999	1.460170735
